-8.570833440002221693e+00 -1.016345065671262957e-04 8.835827628477872187e-08
-7.841553264032206982e+00 -5.360775766480074811e-01 7.970265045448484191e-08
-6.856258313029564455e+00 -5.329120870598300641e-01 8.487081839172748029e-08
-6.281027346203138961e+00 -1.003479363676334889e-04 1.057768077148688839e-07
-9.632280151761733578e+00 -9.138142792691147400e-05 3.914491273943405670e-08
-9.091577781664037516e+00 -4.853043386065530873e-01 5.108487378684655769e-08
-8.157791105128540110e+00 -9.780801299313194308e-01 4.764130919024993166e-08
-7.160504318295766168e+00 -1.396977856785723171e+00 3.351953843624038090e-08
-6.506244201884758382e+00 -9.656988158436544678e-01 5.094789811992139067e-08
-5.763695943377039832e+00 -4.730401498515428016e-01 6.715763769370202902e-08
-5.152762004236633331e+00 -8.974434191158461610e-05 6.677873366246169157e-08
-1.053907381721655945e+01 -1.184374356277065603e-04 5.774958977748349942e-09
-1.016404521881522705e+01 -5.896405532790319759e-01 2.370769970510318971e-08
-9.539558439032040482e+00 -1.008504597175077677e+00 4.250291563164116693e-08
-8.847051298124400276e+00 -1.504138122943132982e+00 4.336539477650697706e-08
-8.041200699175295341e+00 -2.056247807708953879e+00 2.754667549969448834e-08
-7.188225471663708177e+00 -2.324590264725741928e+00 1.419734992673688156e-08
-6.562821415415085902e+00 -2.066830776781787726e+00 2.849886344573154251e-08
-6.012146114054350399e+00 -1.507138845375292080e+00 4.639425810427828031e-08
-5.369448018844121151e+00 -1.004728197553323099e+00 4.623298583161707962e-08
-4.688045701018091371e+00 -5.940884624015857485e-01 3.051532675161406070e-08
-4.270000514059824503e+00 -1.197312354407345178e-04 1.451109190658804646e-08
-1.135393588355288053e+01 -1.385144689125503452e-04 -2.092788691084749025e-08
-1.108054265232832414e+01 -7.308645370054227541e-01 3.102330223053088202e-09
-1.059503634222749113e+01 -1.364239084903150490e+00 2.508149512091382123e-08
-1.006450854049637655e+01 -1.784506359155206834e+00 3.207450508229038775e-08
-9.306639636847240382e+00 -2.321751949951178506e+00 3.094565908462738448e-08
-8.492708932466777938e+00 -2.817770589077784660e+00 1.889759327191138420e-08
-7.659776217056302627e+00 -3.057644907025193870e+00 4.368025205954365735e-09
-6.833270374853400497e+00 -3.073675333211044691e+00 4.413749938145419424e-09
-6.186516813571777185e+00 -2.861010824091643645e+00 1.875562596134490291e-08
-5.491823656641441787e+00 -2.361589926499287895e+00 3.105659415376307648e-08
